STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,iccs,International classification of crime for statistical purposes (ICCS),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,1998,,77,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,1999,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2000,,82,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2001,,70,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2002,,65,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2003,,50,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2004,,59,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2005,,54,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2006,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,AT,Austria,2007,,45,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2000,,216,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2001,,282,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2002,,320,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2003,,229,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2004,,267,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2005,,221,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2006,,223,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BE,Belgium,2007,,211,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,1998,,381,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,1999,,327,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2000,,332,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2001,,308,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2002,,255,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2003,,247,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2004,,240,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2005,,196,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2006,,183,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,BG,Bulgaria,2007,,169,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,1998,,76,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,1999,,89,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2000,,69,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2001,,86,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2002,,86,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2003,,73,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2004,,79,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2005,,75,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2006,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CH,Switzerland,2007,,51,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,1998,,7,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,1999,,10,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2000,,8,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2001,,7,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2002,,3,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2003,,15,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2004,,15,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2005,,15,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2006,,12,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CY,Cyprus,2007,,11,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,1998,,183,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,1999,,175,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2000,,179,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2001,,157,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2002,,147,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2003,,161,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2004,,134,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2005,,108,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2006,,130,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,CZ,Czechia,2007,,126,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,1998,,998,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,1999,,1020,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2000,,1015,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2001,,925,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2002,,955,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2003,,859,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2004,,868,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2005,,869,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2006,,808,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DE,Germany,2007,,757,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,1998,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,1999,,68,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2000,,79,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2001,,62,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2002,,58,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2003,,82,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2004,,60,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2005,,70,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2006,,45,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,DK,Denmark,2007,,76,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,1998,,196,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,1999,,157,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2000,,143,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2001,,137,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2002,,142,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2003,,147,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2004,,91,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2005,,113,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2006,,91,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EE,Estonia,2007,,93,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,1998,,176,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,1999,,155,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2000,,146,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2001,,132,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2002,,94,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2003,,116,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2004,,111,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2005,,132,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2006,,110,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,EL,Greece,2007,,128,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,1998,,522,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,1999,,486,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2000,,553,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2001,,577,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2002,,564,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2003,,587,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2004,,520,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2005,,518,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2006,,476,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,ES,Spain,2007,,482,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,1998,,113,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,1999,,143,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2000,,148,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2001,,156,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2002,,132,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2003,,103,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2004,,144,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2005,,113,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2006,,112,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FI,Finland,2007,,128,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,1998,,961,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,1999,,953,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2000,,1051,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2001,,1046,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2002,,1119,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2003,,987,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2004,,990,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2005,,976,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2006,,879,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FR,France,2007,,826,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,1998,,961,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,1999,,953,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2000,,1051,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2001,,1046,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2002,,1119,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2003,,987,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2004,,990,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2005,,976,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2006,,879,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,FX,Metropolitan France,2007,,826,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,HR,Croatia,1998,,131,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,HR,Croatia,1999,,121,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,HR,Croatia,2000,,111,,,,,
dataflow,ESTAT:CRIM_GEN$DEFAULTVIEW(1.0),Crimes recorded by the police by by offence category,A,Annual,NR,Number,ICCS0101,Intentional homicide,HR,Croatia,2001,,86,,,,,
